MJD filter mag dmag
59938.109187 DLT40 16.1012 0.0116
59938.151493 DLT40 16.1318 0.0127
59938.240176 DLT40 16.1632 0.0137
59939.071010 DLT40 16.1259 0.0167
59939.129068 DLT40 16.1406 0.0153
59939.180124 DLT40 16.1255 0.0145
59939.232310 DLT40 16.1719 0.0159
59940.055575 DLT40 16.1089 0.0131
59940.105598 DLT40 16.1296 0.0121
59940.138786 DLT40 16.1294 0.0135
59940.139596 DLT40 16.1360 0.0125
59940.179153 DLT40 16.1290 0.0150
59940.515931 DLT40 16.2589 0.0152
59940.690573 DLT40 16.2239 0.0252
59941.033677 DLT40 16.1828 0.0197
59941.034691 DLT40 16.1961 0.0208
59941.084297 DLT40 16.1702 0.0129
59941.154843 DLT40 16.2241 0.0116
59941.208505 DLT40 16.2048 0.0144
59941.209331 DLT40 16.1840 0.0139
59941.677765 DLT40 16.1917 0.0296
59942.154014 DLT40 16.2073 0.0130
59942.203000 DLT40 16.1880 0.0098
59942.251211 DLT40 16.2687 0.0112
59942.516338 DLT40 16.1359 0.0230
59942.735437 DLT40 16.2470 0.0268
59943.080778 DLT40 16.1985 0.0176
59943.159917 DLT40 16.2031 0.0182
59943.166534 DLT40 16.1964 0.0172
59943.199192 DLT40 16.1977 0.0122
59943.250869 DLT40 16.1961 0.0160
59943.516495 DLT40 16.2411 0.0179
59943.730810 DLT40 16.2365 0.0164
59944.088610 DLT40 16.1330 0.0511
59944.088613 DLT40 16.1569 0.0199
59944.118753 DLT40 16.1735 0.0202
59944.201269 DLT40 16.1605 0.0244
59944.218823 DLT40 16.1264 0.0205
59944.516676 DLT40 16.2213 0.0223
59944.684810 DLT40 16.2327 0.0144
59944.713344 DLT40 16.2050 0.0182
59945.090978 DLT40 16.1917 0.0448
59945.090980 DLT40 16.2081 0.0943
59945.159628 DLT40 16.2253 0.0442
59945.197361 DLT40 16.2834 0.0655
59945.201465 DLT40 16.1747 0.0422
59945.516787 DLT40 16.2672 0.0181
59945.643189 DLT40 16.2668 0.0163
59945.652303 DLT40 16.2521 0.0250
59946.034605 DLT40 16.2841 0.0650
59946.109454 DLT40 16.1921 0.0256
59946.162700 DLT40 16.2099 0.0240
59947.064184 DLT40 16.2628 0.0290
59947.122657 DLT40 16.2785 0.0242
59948.096522 DLT40 16.5287 0.0266
59948.130831 DLT40 16.2535 0.0197
59948.168525 DLT40 16.2232 0.0246
59948.170437 DLT40 16.1864 0.0148
59949.034755 DLT40 16.3643 0.0223
59952.163373 DLT40 16.2836 0.0206
59953.211210 DLT40 16.3200 0.0178
59954.152992 DLT40 16.2787 0.0208
59955.200450 DLT40 16.3172 0.0163
59955.582670 DLT40 16.2369 0.0148
59956.101302 DLT40 16.2439 0.0098
59956.125908 DLT40 16.3291 0.0099
59956.126732 DLT40 16.2696 0.0098
59956.127996 DLT40 16.2626 0.0123
59956.129242 DLT40 16.2829 0.0097
59956.130492 DLT40 16.2955 0.0096
59956.131735 DLT40 16.2796 0.0099
59956.139465 DLT40 16.2423 0.0108
59956.656195 DLT40 16.3468 0.0211
59957.059663 DLT40 16.2946 0.0131
59957.060274 DLT40 16.2876 0.0105
59957.191084 DLT40 16.2610 0.0210
59958.062147 DLT40 16.3093 0.0104
59958.099881 DLT40 16.2812 0.0106
59959.039382 DLT40 16.2924 0.0106
59959.143430 DLT40 16.2708 0.0101
59959.677831 DLT40 16.2181 0.0346
59960.036101 DLT40 16.2859 0.0112
59960.141164 DLT40 16.2696 0.0101
59960.217766 DLT40 17.1187 0.0561
59961.148295 DLT40 16.2605 0.0107
59962.092138 DLT40 16.2780 0.0100
59962.109314 DLT40 16.3615 0.0442
59962.141260 DLT40 16.2628 0.0154
59962.673447 DLT40 16.1761 0.0324
59963.097094 DLT40 16.2927 0.0104
59963.142683 DLT40 16.2798 0.0124
59963.160081 DLT40 16.2598 0.0117
59963.186097 DLT40 17.0096 0.0611
59964.056462 DLT40 16.3228 0.0107
59964.092943 DLT40 16.2833 0.0140
59964.129133 DLT40 16.2733 0.0143
59965.074011 DLT40 16.2827 0.0102
59965.156431 DLT40 16.3223 0.0113
59966.041713 DLT40 16.2376 0.0118
59966.135435 DLT40 16.2591 0.0113
59966.615319 DLT40 16.3144 0.0224
59967.130389 DLT40 16.3018 0.0109
59967.654519 DLT40 16.2346 0.0264
59968.127744 DLT40 16.3127 0.0105
59968.664797 DLT40 16.2442 0.0168
59970.125581 DLT40 16.2064 0.0478
59971.111156 DLT40 16.3253 0.0117
59971.632415 DLT40 16.3046 0.0218
59972.143585 DLT40 16.3081 0.0130
59972.554049 DLT40 16.2778 0.0185
59973.127097 DLT40 16.3118 0.0196
59974.143225 DLT40 16.3456 0.0238
59974.550703 DLT40 16.3391 0.0181
59975.142508 DLT40 16.3675 0.0139
59975.162950 DLT40 16.4125 0.0174
59975.163568 DLT40 16.2698 0.0163
59977.027039 DLT40 16.2663 0.0164
59977.114037 DLT40 16.3440 0.0153
59978.027003 DLT40 16.3057 0.0189
59978.126812 DLT40 16.3424 0.0239
59980.031991 DLT40 16.3067 0.0349
60027.028738 DLT40 16.9706 0.0484
60029.024208 DLT40 17.2132 0.0285
60030.005496 DLT40 16.9832 0.0659
60030.985678 DLT40 16.7985 0.0800
60031.985377 DLT40 17.4816 0.0610
60032.463175 DLT40 17.4539 0.2329
60035.982839 DLT40 17.1604 0.2896
60036.982728 DLT40 17.1532 0.1445
59928.320000 g 16.0880 0.0110
59959.289000 g 16.7280 0.0190
59964.278000 g 16.7940 0.0190
59968.227000 g 16.8590 0.0150
60180.612000 g 20.3790 0.2630
60197.567000 g 20.2770 0.2140
60202.578000 g 20.6930 0.2880
59926.341000 i 16.3700 0.0100
59956.290000 i 16.1450 0.0170
59959.291000 i 16.1240 0.0180
59968.224000 i 16.1290 0.0080
60179.616000 i 19.0980 0.1440
60180.615000 i 19.3500 0.1430
60188.572000 i 19.3740 0.1910
60188.584000 i 19.3860 0.2010
60188.596000 i 19.4020 0.2020
